epoch,train_loss,test_loss
1,1642.131591796875,3249.06787109375
2,1348.71630859375,2720.803466796875
3,1214.9935302734375,2496.0302734375
4,1154.6549072265625,2401.754150390625
5,1120.5982666015625,2339.178466796875
6,1098.2269287109375,2294.51513671875
7,1082.47216796875,2265.3037109375
8,1071.1650390625,2245.9482421875
9,1062.4256591796875,2233.5888671875
10,1054.36865234375,2224.26318359375
11,1047.5499267578125,2211.682373046875
12,1040.957763671875,2201.37939453125
13,1033.3292236328125,2190.509521484375
14,1024.5625,2175.890869140625
15,1016.2012329101562,2168.41455078125
16,1007.8938598632812,2161.796630859375
17,1001.7224731445312,2155.9677734375
18,995.2506103515625,2152.463134765625
19,992.4508666992188,2154.7763671875
20,987.9152221679688,2152.058349609375
21,983.1724853515625,2151.14453125
22,980.7139892578125,2148.298828125
23,977.0086669921875,2150.323486328125
24,975.4644775390625,2144.998779296875
25,974.5317993164062,2150.675048828125
26,971.6018676757812,2144.025146484375
27,969.8323364257812,2146.594482421875
28,966.6119384765625,2139.885009765625
29,965.2711791992188,2141.889404296875
30,962.2586059570312,2136.46044921875
31,960.5576171875,2143.9482421875
32,958.045654296875,2139.861328125
33,957.0202026367188,2137.57470703125
34,954.3512573242188,2141.318603515625
35,952.0855712890625,2135.119384765625
36,950.2041015625,2138.486572265625
37,948.1419067382812,2136.439208984375
38,946.5767822265625,2138.734375
39,944.1337280273438,2138.494140625
40,942.6741943359375,2136.866943359375
41,941.557373046875,2140.51708984375
42,940.7099609375,2136.5517578125
43,938.8502197265625,2144.430419921875
44,937.1857299804688,2143.028076171875
45,936.6373291015625,2142.1376953125
