epoch,train_loss,test_loss
1,959.4949951171875,2802.80712890625
2,774.530517578125,2458.44677734375
3,710.876953125,2353.159423828125
4,680.5438232421875,2301.91162109375
5,662.531005859375,2275.52099609375
6,650.2538452148438,2254.989501953125
7,639.7006225585938,2235.045654296875
8,630.5724487304688,2216.978759765625
9,623.7291259765625,2207.54248046875
10,617.4713745117188,2199.911376953125
11,612.9837646484375,2198.41552734375
12,609.150390625,2189.9677734375
13,606.86865234375,2195.947265625
14,602.8739013671875,2186.611328125
15,600.5928955078125,2187.81201171875
16,597.5089721679688,2188.43505859375
17,594.7321166992188,2182.837890625
18,591.8142700195312,2180.30908203125
19,589.7146606445312,2168.7080078125
20,587.3502807617188,2169.184814453125
21,585.3404541015625,2166.0556640625
22,583.0874633789062,2165.918701171875
23,581.237548828125,2166.200439453125
24,579.7039794921875,2162.838134765625
25,578.516357421875,2165.087646484375
26,576.9765625,2165.229248046875
27,575.0938720703125,2158.224365234375
28,573.5180053710938,2161.724609375
29,572.309326171875,2158.362548828125
30,571.8052978515625,2162.078369140625
31,570.5640258789062,2162.83349609375
32,569.4093017578125,2162.043212890625
33,568.3224487304688,2164.413330078125
34,567.101806640625,2164.240966796875
35,566.6802368164062,2162.504150390625
36,565.573974609375,2164.21044921875
37,564.8309936523438,2155.09814453125
38,564.1810913085938,2159.638916015625
39,563.3134765625,2159.03369140625
40,562.5592651367188,2161.142333984375
41,561.9786376953125,2165.305419921875
42,561.0824584960938,2156.3095703125
43,561.3151245117188,2168.06591796875
44,560.0257568359375,2169.583984375
45,559.1664428710938,2163.021484375
46,558.4366455078125,2162.092529296875
47,557.8880004882812,2169.0009765625
