round,test_loss
1,2086.686279296875
2,1951.7574462890625
3,1935.9908447265625
4,1919.32421875
5,1910.569580078125
6,1903.64013671875
7,1895.9974365234375
8,1894.4193115234375
9,1883.3011474609375
10,1880.31396484375
11,1879.069091796875
12,1880.22265625
13,1880.5340576171875
14,1877.423583984375
15,1875.1015625
16,1873.72021484375
17,1873.01708984375
18,1876.11181640625
19,1877.116455078125
20,1871.5390625
21,1876.8775634765625
22,1876.612548828125
23,1872.45263671875
24,1875.284912109375
25,1878.867919921875
