epoch,train_loss,test_loss
1,-1630.6876220703125,-2197.869384765625
2,-1457.860595703125,-1968.3773193359375
3,-1402.7685546875,-1909.2235107421875
4,-1351.2041015625,-1848.23974609375
5,-1310.82080078125,-1806.18798828125
6,-1283.48486328125,-1783.046142578125
7,-1261.831787109375,-1761.093505859375
8,-1242.427001953125,-1741.241455078125
9,-1225.179931640625,-1718.9378662109375
10,-1210.5213623046875,-1703.71875
11,-1198.566162109375,-1688.547119140625
12,-1187.105712890625,-1675.6766357421875
13,-1177.484619140625,-1665.212158203125
14,-1169.433837890625,-1656.5416259765625
15,-1162.257080078125,-1651.5762939453125
16,-1155.21240234375,-1647.013427734375
17,-1150.4239501953125,-1642.8531494140625
18,-1144.06103515625,-1638.3604736328125
19,-1138.287109375,-1636.119140625
20,-1135.41015625,-1633.51953125
21,-1129.4796142578125,-1630.35400390625
22,-1125.2176513671875,-1628.06689453125
23,-1122.184814453125,-1628.2218017578125
24,-1119.1126708984375,-1625.9713134765625
25,-1115.2850341796875,-1624.49267578125
26,-1111.67138671875,-1622.1422119140625
27,-1109.755126953125,-1621.468994140625
28,-1107.523681640625,-1623.281494140625
29,-1104.69677734375,-1621.6058349609375
30,-1101.829345703125,-1620.40283203125
31,-1098.8114013671875,-1620.5992431640625
32,-1097.1842041015625,-1618.4625244140625
33,-1095.1033935546875,-1617.70458984375
34,-1092.6954345703125,-1616.9443359375
35,-1091.7874755859375,-1618.9554443359375
36,-1089.177734375,-1617.206787109375
37,-1087.3453369140625,-1618.3585205078125
38,-1084.8270263671875,-1615.233642578125
39,-1083.479736328125,-1615.526123046875
40,-1082.025146484375,-1614.312744140625
41,-1079.97119140625,-1615.65478515625
42,-1077.7386474609375,-1616.084228515625
43,-1076.9859619140625,-1616.09033203125
44,-1076.6229248046875,-1620.3330078125
45,-1074.2894287109375,-1615.5103759765625
46,-1072.1866455078125,-1614.7088623046875
47,-1071.0777587890625,-1612.8863525390625
48,-1069.257568359375,-1613.5072021484375
49,-1068.4864501953125,-1615.270263671875
50,-1067.3892822265625,-1611.9014892578125
51,-1065.647705078125,-1613.3389892578125
52,-1064.5003662109375,-1612.7674560546875
53,-1063.2255859375,-1612.5552978515625
54,-1061.7933349609375,-1610.744384765625
55,-1061.3128662109375,-1615.9407958984375
56,-1060.1046142578125,-1615.0
57,-1058.1217041015625,-1613.26953125
58,-1057.88671875,-1614.489990234375
59,-1057.3160400390625,-1612.7415771484375
60,-1055.3914794921875,-1615.2274169921875
61,-1054.8040771484375,-1615.6573486328125
62,-1053.8956298828125,-1614.7479248046875
63,-1052.627685546875,-1612.521240234375
64,-1052.010009765625,-1613.495361328125
65,-1050.517578125,-1611.895263671875
66,-1049.212890625,-1612.748291015625
67,-1048.7291259765625,-1613.8868408203125
68,-1047.9046630859375,-1611.9288330078125
69,-1047.411376953125,-1614.66845703125
70,-1047.5628662109375,-1614.0855712890625
71,-1045.1884765625,-1615.79638671875
72,-1043.9354248046875,-1613.531005859375
73,-1043.5238037109375,-1614.4903564453125
74,-1043.38232421875,-1613.3680419921875
75,-1042.0689697265625,-1612.4228515625
76,-1041.931884765625,-1609.4298095703125
77,-1041.685791015625,-1613.125244140625
78,-1040.0772705078125,-1612.26171875
79,-1038.8433837890625,-1615.0465087890625
80,-1038.5250244140625,-1613.7938232421875
81,-1038.0728759765625,-1619.159423828125
82,-1037.460693359375,-1620.485107421875
83,-1035.9990234375,-1614.33447265625
84,-1035.7611083984375,-1613.061279296875
85,-1035.20263671875,-1618.1375732421875
86,-1034.6761474609375,-1617.8619384765625
87,-1033.9007568359375,-1617.3260498046875
88,-1032.8472900390625,-1617.441162109375
89,-1032.1832275390625,-1615.5560302734375
90,-1032.07177734375,-1615.8895263671875
91,-1031.6729736328125,-1618.6591796875
92,-1030.7508544921875,-1619.472412109375
93,-1030.015869140625,-1616.674072265625
94,-1029.338134765625,-1621.83203125
95,-1028.3621826171875,-1618.745361328125
96,-1028.82763671875,-1618.513916015625
97,-1027.3233642578125,-1617.5045166015625
98,-1027.2047119140625,-1620.933837890625
99,-1026.80224609375,-1624.5726318359375
100,-1027.740966796875,-1623.399169921875
