epoch,train_loss,test_loss
1,-810.0391235351562,-2119.79638671875
2,-719.04296875,-1989.874755859375
3,-685.8605346679688,-1938.8858642578125
4,-663.4407348632812,-1909.698486328125
5,-645.2095947265625,-1885.0836181640625
6,-629.498779296875,-1852.906982421875
7,-617.5603637695312,-1837.602783203125
8,-610.12548828125,-1827.8095703125
9,-605.3782348632812,-1826.72900390625
10,-601.350341796875,-1819.3070068359375
11,-597.7167358398438,-1808.779296875
12,-594.6317138671875,-1817.072021484375
13,-591.15478515625,-1820.7862548828125
14,-588.9556274414062,-1824.70654296875
15,-587.432373046875,-1822.972412109375
16,-585.3932495117188,-1824.634521484375
17,-583.9065551757812,-1822.452880859375
18,-582.2279052734375,-1823.636962890625
19,-580.55908203125,-1821.8533935546875
20,-579.4615478515625,-1826.2220458984375
21,-577.8347778320312,-1826.0079345703125
22,-576.2756958007812,-1816.4512939453125
23,-575.3267822265625,-1826.289794921875
24,-574.3038330078125,-1822.470703125
25,-573.1926879882812,-1825.495361328125
26,-572.3336791992188,-1823.635498046875
27,-571.3460083007812,-1827.3704833984375
28,-570.39501953125,-1827.4959716796875
29,-569.4031982421875,-1820.7347412109375
30,-568.3816528320312,-1826.256591796875
31,-567.72607421875,-1815.6903076171875
32,-566.4564208984375,-1828.392578125
33,-565.76708984375,-1827.9459228515625
34,-564.7484741210938,-1827.8975830078125
35,-564.2147827148438,-1828.229248046875
36,-562.9278564453125,-1823.6983642578125
37,-562.3392944335938,-1832.5220947265625
38,-562.0270385742188,-1828.744140625
39,-561.308349609375,-1830.651611328125
40,-560.3807373046875,-1830.35693359375
41,-559.8983154296875,-1824.18701171875
42,-559.1873779296875,-1831.945556640625
43,-558.8207397460938,-1835.985107421875
44,-557.7359008789062,-1831.837158203125
45,-557.3192749023438,-1831.96142578125
46,-556.6881103515625,-1830.9876708984375
47,-556.1778564453125,-1841.3883056640625
48,-555.3411865234375,-1828.79150390625
49,-555.153564453125,-1840.5166015625
50,-554.5272216796875,-1841.4798583984375
51,-553.721435546875,-1845.196533203125
52,-553.3709716796875,-1845.766845703125
53,-552.841552734375,-1839.777099609375
54,-552.7941284179688,-1849.3642578125
55,-551.6133422851562,-1835.76416015625
56,-551.6912841796875,-1845.5382080078125
57,-550.8071899414062,-1846.1605224609375
58,-550.3057861328125,-1847.291015625
59,-550.6674194335938,-1848.725830078125
60,-549.9052124023438,-1846.3203125
61,-549.4091796875,-1857.432373046875
62,-549.0862426757812,-1852.472412109375
63,-548.3139038085938,-1851.347900390625
64,-548.1828002929688,-1863.1102294921875
65,-547.4971313476562,-1846.0478515625
66,-547.3018798828125,-1859.5985107421875
67,-546.4620361328125,-1851.205810546875
68,-546.4010009765625,-1841.4644775390625
69,-545.2725830078125,-1865.5740966796875
70,-545.6590576171875,-1859.25634765625
71,-544.9954223632812,-1862.8914794921875
72,-544.8600463867188,-1854.791748046875
73,-544.5213623046875,-1853.8814697265625
74,-544.0525512695312,-1852.1728515625
75,-544.0311279296875,-1860.833251953125
76,-543.5663452148438,-1851.2989501953125
77,-543.0162963867188,-1855.46337890625
78,-542.5703735351562,-1868.264892578125
79,-542.53466796875,-1865.3011474609375
80,-542.0357055664062,-1865.1275634765625
81,-541.9724731445312,-1864.1175537109375
82,-541.6907958984375,-1873.6383056640625
83,-540.9085693359375,-1868.8720703125
84,-541.1054077148438,-1868.4537353515625
85,-540.499267578125,-1878.68359375
86,-540.2752685546875,-1862.2252197265625
87,-539.7128295898438,-1865.60498046875
88,-539.5164184570312,-1878.8538818359375
89,-539.2793579101562,-1872.135009765625
90,-538.665283203125,-1871.584228515625
91,-538.83642578125,-1867.1053466796875
92,-538.5747680664062,-1867.9140625
93,-538.0419921875,-1876.0103759765625
94,-538.0498657226562,-1885.9732666015625
95,-537.5355224609375,-1876.2216796875
96,-537.6463623046875,-1894.4696044921875
97,-537.6050415039062,-1883.455810546875
98,-537.0531616210938,-1889.5994873046875
99,-537.5311889648438,-1910.098876953125
100,-536.4769287109375,-1883.12255859375
