epoch,train_loss,test_loss
1,5351.2109375,3592.642333984375
2,4644.11279296875,3097.56005859375
3,4246.23828125,2856.645751953125
4,4004.62744140625,2741.4765625
5,3853.889404296875,2687.130615234375
6,3757.138671875,2665.872314453125
7,3695.695068359375,2662.809326171875
8,3655.823974609375,2667.782958984375
9,3628.8515625,2673.1630859375
10,3611.365234375,2680.930908203125
11,3598.359619140625,2688.069580078125
12,3588.105712890625,2696.1162109375
13,3580.2919921875,2704.8642578125
14,3574.0849609375,2712.421142578125
15,3568.52587890625,2718.987060546875
16,3563.310791015625,2726.627685546875
17,3558.349609375,2734.68017578125
