round,test_loss
1,2305.6298828125
2,2060.138427734375
3,1991.6102294921875
4,1972.059814453125
5,1963.4215087890625
6,1955.9525146484375
7,1948.0782470703125
8,1941.6700439453125
9,1937.6422119140625
10,1931.82177734375
11,1928.9112548828125
12,1922.9163818359375
13,1920.0791015625
14,1918.949951171875
15,1912.1741943359375
16,1908.73193359375
17,1913.3857421875
18,1908.2069091796875
19,1906.960205078125
20,1902.764892578125
21,1900.4730224609375
22,1897.3883056640625
23,1892.185302734375
24,1902.57666015625
25,1902.7198486328125
26,1905.7725830078125
27,1905.5166015625
28,1905.423828125
29,1907.4169921875
30,1909.6336669921875
31,1911.302001953125
32,1911.428955078125
33,1913.388916015625
34,1915.799072265625
35,1908.9703369140625
36,1910.6368408203125
37,1912.5963134765625
38,1907.984619140625
39,1913.99853515625
40,1911.3939208984375
41,1909.64306640625
42,1911.2576904296875
43,1918.980712890625
44,1918.6319580078125
45,1914.9061279296875
46,1915.699951171875
47,1925.1033935546875
48,1914.2684326171875
49,1917.940185546875
50,1917.2962646484375
