round,test_loss
1,2164.91357421875
2,1981.548828125
3,1947.0540771484375
4,1930.3321533203125
5,1915.80078125
6,1910.620849609375
7,1905.04638671875
8,1900.7318115234375
9,1898.4464111328125
10,1894.76318359375
11,1895.8057861328125
12,1892.0767822265625
13,1887.0673828125
14,1885.631591796875
15,1885.3048095703125
16,1881.986328125
17,1881.9222412109375
18,1878.0218505859375
19,1881.5244140625
20,1879.6171875
21,1881.2049560546875
22,1875.4349365234375
23,1876.2808837890625
24,1878.7928466796875
25,1877.0628662109375
26,1871.9541015625
27,1873.9681396484375
28,1870.6885986328125
29,1874.2769775390625
30,1875.6968994140625
31,1871.4873046875
32,1843.9901123046875
33,1883.0733642578125
34,1891.0179443359375
1,2170.989013671875
2,1988.0006103515625
3,1967.4002685546875
4,1952.234619140625
5,1944.3349609375
6,1937.88671875
7,1935.177978515625
8,1928.6214599609375
9,1932.341064453125
10,1927.6680908203125
11,1919.2584228515625
12,1915.9197998046875
13,1915.50048828125
14,1916.0972900390625
15,1913.4864501953125
16,1909.59521484375
17,1907.2835693359375
18,1905.524658203125
19,1904.452392578125
20,1899.59521484375
21,1895.5909423828125
22,1906.6986083984375
23,1896.3994140625
24,1899.2801513671875
25,1893.5570068359375
26,1899.1455078125
27,1889.8974609375
28,1889.3375244140625
29,1891.2490234375
30,1894.44970703125
31,1890.1243896484375
32,1887.6890869140625
33,1887.7435302734375
34,1890.765380859375
