epoch,train_loss,test_loss
1,-1628.8399658203125,-2194.536376953125
2,-1417.0106201171875,-1912.7413330078125
3,-1321.8699951171875,-1806.276123046875
4,-1265.6734619140625,-1754.3951416015625
5,-1227.6588134765625,-1716.72265625
6,-1202.271240234375,-1690.738037109375
7,-1181.1700439453125,-1670.78466796875
8,-1165.504638671875,-1657.979736328125
9,-1154.752685546875,-1644.6827392578125
10,-1147.083740234375,-1641.889892578125
11,-1138.35791015625,-1636.462646484375
12,-1130.860595703125,-1627.671875
13,-1126.6068115234375,-1625.3948974609375
14,-1121.0794677734375,-1621.7138671875
15,-1117.826171875,-1620.5777587890625
16,-1113.3572998046875,-1621.552001953125
17,-1111.1500244140625,-1619.4591064453125
18,-1106.772705078125,-1617.021240234375
19,-1104.0174560546875,-1614.8043212890625
20,-1100.633544921875,-1614.445556640625
21,-1098.797119140625,-1615.1121826171875
22,-1096.6697998046875,-1616.673583984375
23,-1093.806884765625,-1610.7578125
24,-1091.38330078125,-1613.9307861328125
25,-1089.8349609375,-1614.564208984375
26,-1087.53125,-1616.723876953125
27,-1084.490478515625,-1612.9169921875
28,-1082.55712890625,-1613.372802734375
29,-1081.6385498046875,-1613.0543212890625
30,-1079.4473876953125,-1611.598388671875
31,-1077.3614501953125,-1612.4559326171875
32,-1075.5220947265625,-1610.6123046875
33,-1073.9879150390625,-1610.876953125
34,-1072.2974853515625,-1612.9681396484375
35,-1070.72998046875,-1611.140869140625
36,-1069.421875,-1611.2752685546875
37,-1067.68310546875,-1613.410888671875
38,-1066.91357421875,-1613.810302734375
39,-1065.186767578125,-1615.4678955078125
40,-1063.6441650390625,-1616.3990478515625
41,-1062.6063232421875,-1614.586181640625
42,-1061.434814453125,-1614.1676025390625
43,-1059.737548828125,-1614.072265625
44,-1058.4354248046875,-1615.3287353515625
45,-1056.8590087890625,-1614.864501953125
46,-1056.0777587890625,-1615.8748779296875
47,-1054.73583984375,-1612.84619140625
48,-1053.8095703125,-1610.7410888671875
49,-1052.7010498046875,-1611.680908203125
50,-1051.21240234375,-1613.8087158203125
51,-1050.5240478515625,-1613.10986328125
52,-1049.1964111328125,-1611.560302734375
53,-1048.5662841796875,-1613.215087890625
54,-1047.7828369140625,-1616.9241943359375
55,-1046.150146484375,-1613.8311767578125
56,-1045.7479248046875,-1614.6025390625
57,-1044.4202880859375,-1613.9556884765625
58,-1044.18505859375,-1613.5677490234375
59,-1043.125,-1615.27197265625
60,-1042.0601806640625,-1617.5780029296875
61,-1041.23974609375,-1618.5902099609375
62,-1040.1387939453125,-1617.9510498046875
63,-1039.3948974609375,-1618.754150390625
64,-1038.536376953125,-1617.5750732421875
65,-1038.3892822265625,-1617.78466796875
66,-1037.4403076171875,-1617.6727294921875
67,-1036.486328125,-1617.5662841796875
68,-1035.9183349609375,-1618.5921630859375
69,-1035.2008056640625,-1621.220947265625
70,-1034.522705078125,-1622.2044677734375
71,-1034.1497802734375,-1623.529052734375
72,-1033.1114501953125,-1622.670166015625
73,-1032.8980712890625,-1622.2188720703125
74,-1031.87255859375,-1624.0966796875
75,-1031.9013671875,-1623.343505859375
76,-1030.5445556640625,-1625.353515625
77,-1030.1650390625,-1625.3397216796875
78,-1029.220947265625,-1625.585205078125
79,-1028.395263671875,-1625.4747314453125
80,-1028.6126708984375,-1627.18310546875
81,-1027.26123046875,-1625.9234619140625
82,-1027.4781494140625,-1631.155517578125
83,-1026.86962890625,-1630.286865234375
84,-1026.2359619140625,-1632.1142578125
85,-1025.51123046875,-1630.6962890625
86,-1025.1612548828125,-1633.7091064453125
87,-1025.7640380859375,-1632.2041015625
88,-1023.9843139648438,-1634.1082763671875
89,-1023.666015625,-1637.03857421875
90,-1022.9715576171875,-1637.1834716796875
91,-1022.77587890625,-1638.170166015625
92,-1021.4141235351562,-1635.0333251953125
93,-1021.5277709960938,-1636.667236328125
94,-1021.488525390625,-1638.04541015625
95,-1020.4973754882812,-1639.13671875
96,-1020.44384765625,-1638.2772216796875
97,-1020.0906982421875,-1638.468994140625
98,-1018.8237915039062,-1636.313232421875
99,-1019.238037109375,-1640.637451171875
100,-1018.2603759765625,-1641.30419921875
