epoch,train_loss,test_loss
1,-809.7954711914062,-2118.094482421875
2,-690.7317504882812,-1947.2039794921875
3,-643.250244140625,-1871.908447265625
4,-618.0924072265625,-1836.7396240234375
5,-605.9129638671875,-1814.410400390625
6,-599.6157836914062,-1808.30712890625
7,-595.6088256835938,-1807.1685791015625
8,-592.914306640625,-1799.8353271484375
9,-590.7318725585938,-1791.4241943359375
10,-588.9580688476562,-1796.0721435546875
11,-587.3927612304688,-1792.27978515625
12,-585.688232421875,-1791.6187744140625
13,-584.49560546875,-1789.9129638671875
14,-583.4992065429688,-1788.5316162109375
15,-582.33984375,-1794.78173828125
16,-581.2843017578125,-1782.47705078125
17,-580.6987915039062,-1787.3870849609375
18,-579.3160400390625,-1781.3489990234375
19,-579.0774536132812,-1782.305419921875
20,-577.9290161132812,-1779.60009765625
21,-577.2296142578125,-1768.9970703125
22,-576.3475341796875,-1769.031005859375
23,-575.5380859375,-1768.9825439453125
24,-574.7294311523438,-1767.6214599609375
25,-574.0897827148438,-1767.6259765625
26,-573.2914428710938,-1765.133544921875
27,-572.3455200195312,-1763.1201171875
28,-571.840576171875,-1770.7410888671875
29,-570.9401245117188,-1763.45751953125
30,-570.1800537109375,-1765.9327392578125
31,-569.7258911132812,-1774.816650390625
32,-568.6573486328125,-1770.302734375
33,-568.2268676757812,-1778.5203857421875
34,-567.5230102539062,-1778.7509765625
35,-566.9893798828125,-1775.2783203125
36,-566.1658325195312,-1779.914794921875
37,-565.9593505859375,-1783.656494140625
38,-565.0687255859375,-1782.589111328125
39,-564.6156005859375,-1783.021484375
40,-563.9401245117188,-1782.6976318359375
41,-563.2720947265625,-1785.8956298828125
42,-562.9861450195312,-1785.4342041015625
43,-562.4544067382812,-1787.5963134765625
44,-561.9797973632812,-1783.9613037109375
45,-561.342041015625,-1792.5106201171875
46,-561.0136108398438,-1794.2816162109375
47,-560.5025634765625,-1794.41455078125
48,-560.0896606445312,-1804.8028564453125
49,-559.7249145507812,-1804.61474609375
50,-559.1915283203125,-1804.8505859375
51,-558.6259765625,-1804.6068115234375
52,-558.0369262695312,-1804.535400390625
53,-557.5441284179688,-1809.9771728515625
54,-557.3546752929688,-1813.148193359375
55,-557.0280151367188,-1814.115234375
56,-556.5435180664062,-1813.4720458984375
57,-555.9998779296875,-1815.0584716796875
58,-555.7413330078125,-1821.2213134765625
59,-555.5869750976562,-1819.75830078125
60,-554.9918823242188,-1821.7161865234375
61,-554.4794311523438,-1824.657470703125
62,-554.1436157226562,-1827.892578125
63,-553.8084106445312,-1825.478271484375
64,-553.31689453125,-1832.619384765625
65,-553.2599487304688,-1830.8118896484375
66,-552.6458129882812,-1837.3768310546875
67,-552.3692016601562,-1835.207763671875
68,-551.8452758789062,-1834.39794921875
69,-551.6214599609375,-1844.9449462890625
70,-551.457275390625,-1840.7955322265625
71,-551.1046752929688,-1846.666015625
72,-550.6305541992188,-1845.910400390625
73,-550.3861083984375,-1850.6474609375
74,-549.961669921875,-1852.928955078125
75,-549.9515380859375,-1850.7576904296875
76,-549.4013061523438,-1860.584228515625
77,-549.156494140625,-1852.6700439453125
78,-549.1652221679688,-1864.467041015625
79,-548.573486328125,-1861.130615234375
80,-548.36962890625,-1864.9808349609375
81,-548.2943115234375,-1860.4556884765625
82,-547.8577880859375,-1873.1932373046875
83,-547.942138671875,-1867.8548583984375
84,-547.558349609375,-1868.9296875
85,-547.105224609375,-1868.7447509765625
86,-547.0371704101562,-1875.6024169921875
87,-546.6526489257812,-1875.1842041015625
88,-546.3884887695312,-1876.9342041015625
89,-546.0213623046875,-1881.3697509765625
90,-546.0089721679688,-1876.2388916015625
91,-545.7186889648438,-1890.6148681640625
92,-545.3052978515625,-1885.7127685546875
93,-545.2831420898438,-1889.3587646484375
94,-545.197509765625,-1901.71923828125
95,-544.716796875,-1888.599853515625
96,-544.41162109375,-1894.5303955078125
97,-544.172607421875,-1893.67626953125
98,-544.242919921875,-1907.35595703125
99,-544.0071411132812,-1900.8111572265625
100,-543.542724609375,-1905.2652587890625
